,yIndLDA,yIndQDA,yMultiLDA,yMultiQDA,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots
205,0.828,0.8,0.842,0.844,0.852,0.847,0.851,0.848,0.5014848026940257,0.5076046765784625,0.5,20,2,8
206,0.827,0.809,0.842,0.844,0.842,0.842,0.843,0.842,0.507475153171203,0.5261900772753634,0.5,20,2,9
207,0.821,0.828,0.842,0.844,0.84,0.848,0.842,0.848,0.49999999999999994,0.5189678365242311,0.5,20,2,10
208,0.832,0.834,0.842,0.844,0.843,0.842,0.843,0.843,0.5066064207852417,0.5018637160516816,0.5,20,2,11
209,0.829,0.826,0.842,0.844,0.839,0.837,0.84,0.84,0.525,0.5058303336439819,0.5,20,2,12
210,0.834,0.83,0.842,0.844,0.843,0.839,0.843,0.838,0.5209401624948762,0.5043075301690059,0.5,20,2,13
211,0.84,0.837,0.842,0.844,0.848,0.844,0.848,0.844,0.4992184947908282,0.5021308310684973,0.5,20,2,14
212,0.841,0.837,0.842,0.844,0.848,0.841,0.848,0.842,0.5012022539733292,0.5004714168154882,0.5,20,2,15
213,0.841,0.839,0.842,0.844,0.849,0.843,0.85,0.843,0.5181637314974661,0.5089579335485861,0.5,20,2,16
214,0.842,0.839,0.842,0.844,0.849,0.843,0.849,0.843,0.5249303066011832,0.5052859928708291,0.5,20,2,17
215,0.843,0.837,0.842,0.844,0.847,0.841,0.847,0.842,0.5260130644306362,0.5101404713615718,0.5,20,2,18
216,0.841,0.839,0.842,0.844,0.85,0.842,0.85,0.843,0.5245023124805287,0.5065284001581666,0.5,20,2,19
